"Symptom Group","Symptom","Cancer Group","Cancer Site","N_Men","% (95% CI)_Men","N_Women","% (95% CI)_Women"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Haematological","Non-Hodgkin lymphoma","1278","6.26 (5.06, 7.72)","1346","3.86 (2.96, 5.03)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Haematological","Other haematological","1278","0.63 (0.32, 1.23)","1346","0.59 (0.30, 1.17)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","CNS","CNS","1278","0.00 (0.00, 0.30)","1346","0.07 (0.01, 0.42)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Sarcoma","Bone sarcoma","1278","0.00 (0.00, 0.30)","1346","0.00 (0.00, 0.28)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Sarcoma","Connective and soft tissue sarcoma","1278","0.70 (0.37, 1.33)","1346","1.63 (1.08, 2.46)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Skin","Melanoma","1278","0.00 (0.00, 0.30)","1346","0.00 (0.00, 0.28)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Ocular","Ocular","1278","0.00 (0.00, 0.30)","1346","0.00 (0.00, 0.28)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Breast","Breast","1278","0.00 (0.00, 0.30)","1346","0.82 (0.46, 1.46)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Gynaecological","Cervix","1278","-","1346","0.52 (0.25, 1.07)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Gynaecological","Ovary","1278","-","1346","16.4 (14.5, 18.5)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Gynaecological","Uterus","1278","-","1346","4.09 (3.15, 5.28)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Gynaecological","Vulva/Vagina","1278","-","1346","0.07 (0.01, 0.42)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Prostate and other male organs","Penile","1278","0.00 (0.00, 0.30)","1346","-"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Prostate and other male organs","Prostate","1278","7.67 (6.33, 9.26)","1346","-"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Prostate and other male organs","Testicular","1278","0.63 (0.32, 1.23)","1346","-"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Other malignant neoplasms","Other malignant neoplasms","1278","0.39 (0.17, 0.91)","1346","0.37 (0.16, 0.87)"
"Lower abdominal","Lower abdominal - Abdominal pain (NOS) (Men=1278, Women=1346)","Unknown primary","Unknown primary","1278","4.30 (3.32, 5.56)","1346","5.57 (4.47, 6.93)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Head and neck","Larynx","1044","0.00 (0.00, 0.37)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Head and neck","Oral cavity","1044","0.00 (0.00, 0.37)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Head and neck","Oropharynx","1044","0.00 (0.00, 0.37)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Head and neck","Thyroid","1044","0.10 (0.02, 0.54)","838","0.24 (0.07, 0.87)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Head and neck","Other head and neck","1044","0.00 (0.00, 0.37)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Upper GI","Oesophagus","1044","1.82 (1.17, 2.82)","838","0.60 (0.26, 1.39)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Upper GI","Stomach","1044","2.39 (1.63, 3.51)","838","1.79 (1.09, 2.93)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Lower GI","Anal","1044","0.86 (0.45, 1.63)","838","2.98 (2.03, 4.37)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Lower GI","Colon","1044","36.3 (33.4, 39.3)","838","34.7 (31.6, 38.0)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Lower GI","Rectum","1044","33.0 (30.2, 35.9)","838","22.9 (20.2, 25.9)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Lower GI","Small intestine","1044","0.96 (0.52, 1.75)","838","1.67 (1.00, 2.78)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","HPB","Liver","1044","2.01 (1.32, 3.06)","838","1.19 (0.65, 2.18)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","HPB","Pancreas","1044","6.32 (5.00, 7.96)","838","7.16 (5.60, 9.11)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","HPB","Other HPB","1044","0.48 (0.20, 1.12)","838","0.72 (0.33, 1.55)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Respiratory","Lung","1044","2.30 (1.55, 3.40)","838","4.06 (2.92, 5.62)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Respiratory","Mesothelioma","1044","0.38 (0.15, 0.98)","838","0.12 (0.02, 0.67)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Urological","Bladder","1044","0.19 (0.05, 0.70)","838","0.60 (0.26, 1.39)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Urological","Kidney","1044","1.44 (0.87, 2.36)","838","1.67 (1.00, 2.78)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Urological","Ureteric and other urinary","1044","0.10 (0.02, 0.54)","838","0.12 (0.02, 0.67)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Haematological","Acute leukaemia","1044","0.29 (0.10, 0.84)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Haematological","Chronic lymphocytic leukaemia","1044","0.19 (0.05, 0.70)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Haematological","Hodgkin lymphoma","1044","0.00 (0.00, 0.37)","838","0.24 (0.07, 0.87)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Haematological","Multiple myeloma","1044","0.57 (0.26, 1.25)","838","0.60 (0.26, 1.39)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Haematological","Non-Hodgkin lymphoma","1044","1.92 (1.24, 2.94)","838","2.39 (1.55, 3.66)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Haematological","Other haematological","1044","0.29 (0.10, 0.84)","838","0.48 (0.19, 1.22)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","CNS","CNS","1044","0.00 (0.00, 0.37)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Sarcoma","Bone sarcoma","1044","0.10 (0.02, 0.54)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Sarcoma","Connective and soft tissue sarcoma","1044","0.38 (0.15, 0.98)","838","0.84 (0.41, 1.71)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Skin","Melanoma","1044","0.00 (0.00, 0.37)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Ocular","Ocular","1044","0.00 (0.00, 0.37)","838","0.00 (0.00, 0.46)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Breast","Breast","1044","0.00 (0.00, 0.37)","838","0.95 (0.48, 1.87)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Gynaecological","Cervix","1044","-","838","0.24 (0.07, 0.87)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Gynaecological","Ovary","1044","-","838","8.35 (6.66, 10.4)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Gynaecological","Uterus","1044","-","838","1.07 (0.57, 2.03)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Gynaecological","Vulva/Vagina","1044","-","838","0.12 (0.02, 0.67)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Prostate and other male organs","Penile","1044","0.00 (0.00, 0.37)","838","-"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Prostate and other male organs","Prostate","1044","5.65 (4.41, 7.22)","838","-"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Prostate and other male organs","Testicular","1044","0.10 (0.02, 0.54)","838","-"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Other malignant neoplasms","Other malignant neoplasms","1044","0.10 (0.02, 0.54)","838","0.36 (0.12, 1.05)"
"Lower abdominal","Lower abdominal - Change in bowel habit (Men=1044, Women=838)","Unknown primary","Unknown primary","1044","1.82 (1.17, 2.82)","838","3.82 (2.72, 5.34)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Head and neck","Larynx","551","0.00 (0.00, 0.69)","495","0.20 (0.04, 1.14)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Head and neck","Oral cavity","551","0.00 (0.00, 0.69)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Head and neck","Oropharynx","551","0.00 (0.00, 0.69)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Head and neck","Thyroid","551","0.18 (0.03, 1.02)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Head and neck","Other head and neck","551","0.18 (0.03, 1.02)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Upper GI","Oesophagus","551","2.54 (1.52, 4.22)","495","1.62 (0.82, 3.16)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Upper GI","Stomach","551","4.36 (2.94, 6.40)","495","1.21 (0.56, 2.62)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Lower GI","Anal","551","0.91 (0.39, 2.11)","495","3.84 (2.47, 5.92)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Lower GI","Colon","551","30.7 (27.0, 34.6)","495","34.3 (30.3, 38.6)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Lower GI","Rectum","551","13.4 (10.8, 16.5)","495","11.3 (8.82, 14.4)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Lower GI","Small intestine","551","1.45 (0.74, 2.84)","495","1.21 (0.56, 2.62)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","HPB","Liver","551","2.54 (1.52, 4.22)","495","1.82 (0.96, 3.42)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","HPB","Pancreas","551","8.53 (6.48, 11.2)","495","9.49 (7.22, 12.4)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","HPB","Other HPB","551","0.18 (0.03, 1.02)","495","2.02 (1.10, 3.68)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Respiratory","Lung","551","5.99 (4.30, 8.29)","495","3.64 (2.31, 5.67)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Respiratory","Mesothelioma","551","0.54 (0.19, 1.59)","495","0.20 (0.04, 1.14)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Urological","Bladder","551","1.27 (0.62, 2.60)","495","1.01 (0.43, 2.34)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Urological","Kidney","551","2.90 (1.80, 4.66)","495","1.01 (0.43, 2.34)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Urological","Ureteric and other urinary","551","0.36 (0.10, 1.31)","495","0.20 (0.04, 1.14)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Haematological","Acute leukaemia","551","0.00 (0.00, 0.69)","495","0.20 (0.04, 1.14)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Haematological","Chronic lymphocytic leukaemia","551","0.36 (0.10, 1.31)","495","0.20 (0.04, 1.14)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Haematological","Hodgkin lymphoma","551","0.00 (0.00, 0.69)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Haematological","Multiple myeloma","551","0.73 (0.28, 1.85)","495","0.20 (0.04, 1.14)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Haematological","Non-Hodgkin lymphoma","551","3.99 (2.65, 5.97)","495","2.42 (1.39, 4.19)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Haematological","Other haematological","551","0.73 (0.28, 1.85)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","CNS","CNS","551","0.00 (0.00, 0.69)","495","0.40 (0.11, 1.46)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Sarcoma","Bone sarcoma","551","0.00 (0.00, 0.69)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Sarcoma","Connective and soft tissue sarcoma","551","0.36 (0.10, 1.31)","495","0.61 (0.21, 1.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Skin","Melanoma","551","0.00 (0.00, 0.69)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Ocular","Ocular","551","0.00 (0.00, 0.69)","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Breast","Breast","551","0.18 (0.03, 1.02)","495","0.81 (0.31, 2.06)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Gynaecological","Cervix","551","-","495","1.21 (0.56, 2.62)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Gynaecological","Ovary","551","-","495","14.1 (11.3, 17.5)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Gynaecological","Uterus","551","-","495","1.21 (0.56, 2.62)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Gynaecological","Vulva/Vagina","551","-","495","0.00 (0.00, 0.77)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Prostate and other male organs","Penile","551","0.00 (0.00, 0.69)","495","-"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Prostate and other male organs","Prostate","551","12.3 (9.85, 15.4)","495","-"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Prostate and other male organs","Testicular","551","0.00 (0.00, 0.69)","495","-"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Other malignant neoplasms","Other malignant neoplasms","551","0.36 (0.10, 1.31)","495","0.40 (0.11, 1.46)"
"Lower abdominal","Lower abdominal - Constipation (Men=551, Women=495)","Unknown primary","Unknown primary","551","4.90 (3.39, 7.04)","495","5.05 (3.44, 7.35)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Head and neck","Larynx","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Head and neck","Oral cavity","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Head and neck","Oropharynx","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Head and neck","Thyroid","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Head and neck","Other head and neck","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Upper GI","Oesophagus","683","0.88 (0.40, 1.90)","616","0.81 (0.35, 1.89)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Upper GI","Stomach","683","2.64 (1.67, 4.13)","616","2.60 (1.61, 4.18)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Lower GI","Anal","683","0.88 (0.40, 1.90)","616","1.95 (1.12, 3.37)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Lower GI","Colon","683","33.5 (30.1, 37.2)","616","34.1 (30.5, 37.9)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Lower GI","Rectum","683","24.9 (21.8, 28.3)","616","13.5 (11.0, 16.4)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Lower GI","Small intestine","683","1.76 (1.01, 3.05)","616","3.57 (2.37, 5.35)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","HPB","Liver","683","3.51 (2.37, 5.18)","616","1.62 (0.88, 2.96)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","HPB","Pancreas","683","8.20 (6.37, 10.5)","616","8.60 (6.64, 11.1)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","HPB","Other HPB","683","2.05 (1.22, 3.41)","616","2.11 (1.24, 3.58)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Respiratory","Lung","683","3.95 (2.73, 5.69)","616","6.17 (4.53, 8.35)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Respiratory","Mesothelioma","683","0.73 (0.31, 1.70)","616","0.16 (0.03, 0.91)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Urological","Bladder","683","0.73 (0.31, 1.70)","616","0.65 (0.25, 1.66)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Urological","Kidney","683","1.76 (1.01, 3.05)","616","1.46 (0.77, 2.75)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Urological","Ureteric and other urinary","683","0.15 (0.03, 0.82)","616","0.16 (0.03, 0.91)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Haematological","Acute leukaemia","683","0.73 (0.31, 1.70)","616","0.16 (0.03, 0.91)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Haematological","Chronic lymphocytic leukaemia","683","0.59 (0.23, 1.50)","616","0.65 (0.25, 1.66)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Haematological","Hodgkin lymphoma","683","0.15 (0.03, 0.82)","616","0.49 (0.17, 1.42)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Haematological","Multiple myeloma","683","0.73 (0.31, 1.70)","616","1.14 (0.55, 2.33)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Haematological","Non-Hodgkin lymphoma","683","2.64 (1.67, 4.13)","616","1.95 (1.12, 3.37)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Haematological","Other haematological","683","1.17 (0.59, 2.29)","616","0.32 (0.09, 1.18)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","CNS","CNS","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Sarcoma","Bone sarcoma","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Sarcoma","Connective and soft tissue sarcoma","683","0.15 (0.03, 0.82)","616","0.65 (0.25, 1.66)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Skin","Melanoma","683","0.15 (0.03, 0.82)","616","0.16 (0.03, 0.91)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Ocular","Ocular","683","0.00 (0.00, 0.56)","616","0.00 (0.00, 0.62)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Breast","Breast","683","0.00 (0.00, 0.56)","616","1.62 (0.88, 2.96)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Gynaecological","Cervix","683","-","616","0.49 (0.17, 1.42)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Gynaecological","Ovary","683","-","616","7.79 (5.93, 10.2)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Gynaecological","Uterus","683","-","616","0.97 (0.45, 2.11)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Gynaecological","Vulva/Vagina","683","-","616","0.16 (0.03, 0.91)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Prostate and other male organs","Penile","683","0.00 (0.00, 0.56)","616","-"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Prostate and other male organs","Prostate","683","5.42 (3.96, 7.38)","616","-"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Prostate and other male organs","Testicular","683","0.15 (0.03, 0.82)","616","-"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Other malignant neoplasms","Other malignant neoplasms","683","0.29 (0.08, 1.06)","616","0.81 (0.35, 1.89)"
"Lower abdominal","Lower abdominal - Diarrhoea (Men=683, Women=616)","Unknown primary","Unknown primary","683","2.20 (1.34, 3.59)","616","5.19 (3.70, 7.24)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Head and neck","Larynx","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Head and neck","Oral cavity","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Head and neck","Oropharynx","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Head and neck","Thyroid","438","0.00 (0.00, 0.87)","764","0.13 (0.02, 0.74)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Head and neck","Other head and neck","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Upper GI","Oesophagus","438","4.11 (2.62, 6.40)","764","0.52 (0.20, 1.34)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Upper GI","Stomach","438","5.48 (3.71, 8.02)","764","1.05 (0.53, 2.05)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Lower GI","Anal","438","0.68 (0.23, 1.99)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Lower GI","Colon","438","22.6 (18.9, 26.7)","764","15.4 (13.1, 18.2)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Lower GI","Rectum","438","6.16 (4.27, 8.82)","764","3.01 (2.01, 4.48)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Lower GI","Small intestine","438","1.14 (0.49, 2.64)","764","1.18 (0.62, 2.22)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","HPB","Liver","438","9.13 (6.78, 12.2)","764","2.49 (1.60, 3.85)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","HPB","Pancreas","438","11.6 (8.97, 15.0)","764","6.81 (5.23, 8.82)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","HPB","Other HPB","438","1.60 (0.78, 3.26)","764","1.57 (0.90, 2.73)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Respiratory","Lung","438","4.34 (2.79, 6.68)","764","2.62 (1.70, 4.01)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Respiratory","Mesothelioma","438","0.91 (0.36, 2.32)","764","0.26 (0.07, 0.95)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Urological","Bladder","438","0.68 (0.23, 1.99)","764","0.52 (0.20, 1.34)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Urological","Kidney","438","2.97 (1.74, 5.01)","764","1.96 (1.19, 3.21)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Urological","Ureteric and other urinary","438","0.23 (0.04, 1.28)","764","0.26 (0.07, 0.95)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Haematological","Acute leukaemia","438","0.00 (0.00, 0.87)","764","0.26 (0.07, 0.95)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Haematological","Chronic lymphocytic leukaemia","438","0.91 (0.36, 2.32)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Haematological","Hodgkin lymphoma","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Haematological","Multiple myeloma","438","0.46 (0.13, 1.65)","764","0.26 (0.07, 0.95)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Haematological","Non-Hodgkin lymphoma","438","5.48 (3.71, 8.02)","764","2.88 (1.91, 4.32)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Haematological","Other haematological","438","0.91 (0.36, 2.32)","764","0.52 (0.20, 1.34)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","CNS","CNS","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Sarcoma","Bone sarcoma","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Sarcoma","Connective and soft tissue sarcoma","438","1.37 (0.63, 2.96)","764","3.14 (2.12, 4.63)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Skin","Melanoma","438","0.00 (0.00, 0.87)","764","0.13 (0.02, 0.74)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Ocular","Ocular","438","0.00 (0.00, 0.87)","764","0.00 (0.00, 0.50)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Breast","Breast","438","0.00 (0.00, 0.87)","764","0.92 (0.44, 1.88)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Gynaecological","Cervix","438","-","764","0.26 (0.07, 0.95)"
"Lower abdominal","Lower abdominal - Distension (Men=438, Women=764)","Gynaecological","Ovary","438","-","764","42.8 (39.3, 46.3)"
